"d3mIndex","log(wdi.pop)","wdi.popurb.mi","ythbul4","log1p(bnk.unrest)","log1p(bnk.strikes)","log1p(nvc.dosregt)","nvc.ongoing","civilwar","nvc.start.1"
0,15.8869005225166,46.587,0.18672101865,0,0,0,0,0,0
933.333333333333,15.8869005225166,46.587,0.18672101865,0,0,0,0,0,0
1866.66666666667,15.8869005225166,46.587,0.18672101865,0,0,0,0,0,0
2800,15.8869005225166,46.587,0.18672101865,0,0,0,0,0,0
3733.33333333333,15.8869005225166,46.587,0.18672101865,0,0,0,0,0,0
4666.66666666667,15.8869005225166,46.587,0.18672101865,0,0,0,0,0,0
5600,15.8869005225166,46.587,0.18672101865,0,0,0,0,0,0
6533.33333333333,15.8869005225166,46.587,0.18672101865,0,0,0,0,0,0
7466.66666666667,15.8869005225166,46.587,0.18672101865,0,0,0,0,0,0
8400,15.8869005225166,46.587,0.18672101865,0,0,0,0,0,0
4199,11.6890612626771,46.587,0.18672101865,0,0,0,0,0,0
4199,12.7251901552705,46.587,0.18672101865,0,0,0,0,0,0
4199,13.7613190478639,46.587,0.18672101865,0,0,0,0,0,0
4199,14.7974479404573,46.587,0.18672101865,0,0,0,0,0,0
4199,15.8335768330507,46.587,0.18672101865,0,0,0,0,0,0
4199,16.8697057256441,46.587,0.18672101865,0,0,0,0,0,0
4199,17.9058346182375,46.587,0.18672101865,0,0,0,0,0,0
4199,18.9419635108309,46.587,0.18672101865,0,0,0,0,0,0
4199,19.9780924034243,46.587,0.18672101865,0,0,0,0,0,0
4199,21.0142212960177,46.587,0.18672101865,0,0,0,0,0,0
4199,15.8869005225166,-3.53180547866482,0.18672101865,0,0,0,0,0,0
4199,15.8869005225166,9.20464757463372,0.18672101865,0,0,0,0,0,0
4199,15.8869005225166,21.9411006279323,0.18672101865,0,0,0,0,0,0
4199,15.8869005225166,34.6775536812308,0.18672101865,0,0,0,0,0,0
4199,15.8869005225166,47.4140067345293,0.18672101865,0,0,0,0,0,0
4199,15.8869005225166,60.1504597878279,0.18672101865,0,0,0,0,0,0
4199,15.8869005225166,72.8869128411264,0.18672101865,0,0,0,0,0,0
4199,15.8869005225166,85.6233658944249,0.18672101865,0,0,0,0,0,0
4199,15.8869005225166,98.3598189477235,0.18672101865,0,0,0,0,0,0
4199,15.8869005225166,111.096272001022,0.18672101865,0,0,0,0,0,0
4199,15.8869005225166,46.587,0.0821929309,0,0,0,0,0,0
4199,15.8869005225166,46.587,0.104152167455556,0,0,0,0,0,0
4199,15.8869005225166,46.587,0.126111404011111,0,0,0,0,0,0
4199,15.8869005225166,46.587,0.148070640566667,0,0,0,0,0,0
4199,15.8869005225166,46.587,0.170029877122222,0,0,0,0,0,0
4199,15.8869005225166,46.587,0.191989113677778,0,0,0,0,0,0
4199,15.8869005225166,46.587,0.213948350233333,0,0,0,0,0,0
4199,15.8869005225166,46.587,0.235907586788889,0,0,0,0,0,0
4199,15.8869005225166,46.587,0.257866823344444,0,0,0,0,0,0
4199,15.8869005225166,46.587,0.2798260599,0,0,0,0,0,0
4199,15.8869005225166,46.587,0.18672101865,0,0,0,0,0,0
4199,15.8869005225166,46.587,0.18672101865,0.48963547191825,0,0,0,0,0
4199,15.8869005225166,46.587,0.18672101865,0.9792709438365,0,0,0,0,0
4199,15.8869005225166,46.587,0.18672101865,1.46890641575475,0,0,0,0,0
4199,15.8869005225166,46.587,0.18672101865,1.958541887673,0,0,0,0,0
4199,15.8869005225166,46.587,0.18672101865,2.44817735959125,0,0,0,0,0
4199,15.8869005225166,46.587,0.18672101865,2.9378128315095,0,0,0,0,0
4199,15.8869005225166,46.587,0.18672101865,3.42744830342775,0,0,0,0,0
4199,15.8869005225166,46.587,0.18672101865,3.917083775346,0,0,0,0,0
4199,15.8869005225166,46.587,0.18672101865,4.40671924726425,0,0,0,0,0
4199,15.8869005225166,46.587,0.18672101865,0,0,0,0,0,0
4199,15.8869005225166,46.587,0.18672101865,0,0.293228592179473,0,0,0,0
4199,15.8869005225166,46.587,0.18672101865,0,0.586457184358947,0,0,0,0
4199,15.8869005225166,46.587,0.18672101865,0,0.87968577653842,0,0,0,0
4199,15.8869005225166,46.587,0.18672101865,0,1.17291436871789,0,0,0,0
4199,15.8869005225166,46.587,0.18672101865,0,1.46614296089737,0,0,0,0
4199,15.8869005225166,46.587,0.18672101865,0,1.75937155307684,0,0,0,0
4199,15.8869005225166,46.587,0.18672101865,0,2.05260014525631,0,0,0,0
4199,15.8869005225166,46.587,0.18672101865,0,2.34582873743579,0,0,0,0
4199,15.8869005225166,46.587,0.18672101865,0,2.63905732961526,0,0,0,0
4199,15.8869005225166,46.587,0.18672101865,0,0,0,0,0,0
4199,15.8869005225166,46.587,0.18672101865,0,0,0.216212238783923,0,0,0
4199,15.8869005225166,46.587,0.18672101865,0,0,0.432424477567847,0,0,0
4199,15.8869005225166,46.587,0.18672101865,0,0,0.64863671635177,0,0,0
4199,15.8869005225166,46.587,0.18672101865,0,0,0.864848955135693,0,0,0
4199,15.8869005225166,46.587,0.18672101865,0,0,1.08106119391962,0,0,0
4199,15.8869005225166,46.587,0.18672101865,0,0,1.29727343270354,0,0,0
4199,15.8869005225166,46.587,0.18672101865,0,0,1.51348567148746,0,0,0
4199,15.8869005225166,46.587,0.18672101865,0,0,1.72969791027139,0,0,0
4199,15.8869005225166,46.587,0.18672101865,0,0,1.94591014905531,0,0,0
4199,15.8869005225166,46.587,0.18672101865,0,0,0,0,0,0
4199,15.8869005225166,46.587,0.18672101865,0,0,0,1,0,0
4199,15.8869005225166,46.587,0.18672101865,0,0,0,0,0,0
4199,15.8869005225166,46.587,0.18672101865,0,0,0,0,1,0
4199,15.8869005225166,46.587,0.18672101865,0,0,0,0,0,0
4199,15.8869005225166,46.587,0.18672101865,0,0,0,0,0,1
