p0,p1,d3mIndex
0.94,0.06000000000000005,50.0
0.94,0.06000000000000005,977.222222222222
0.94,0.06000000000000005,1904.4444444444398
0.94,0.06000000000000005,2831.6666666666697
0.94,0.06000000000000005,3758.8888888888896
0.94,0.06000000000000005,4686.11111111111
0.94,0.06000000000000005,5613.33333333333
0.94,0.06000000000000005,6540.55555555555
0.94,0.06000000000000005,7467.777777777779
0.94,0.06000000000000005,8395.0
1.0,0.0,4181.0
1.0,0.0,4181.0
1.0,0.0,4181.0
1.0,0.0,4181.0
0.98,0.020000000000000014,4181.0
0.98,0.020000000000000014,4181.0
0.86,0.14,4181.0
0.92,0.07999999999999996,4181.0
0.92,0.07999999999999996,4181.0
0.94,0.06000000000000005,4181.0
0.94,0.06000000000000005,4181.0
0.94,0.06000000000000005,4181.0
0.94,0.06000000000000005,4181.0
0.94,0.06000000000000005,4181.0
0.94,0.06000000000000005,4181.0
0.94,0.06000000000000005,4181.0
0.94,0.06000000000000005,4181.0
0.8,0.2,4181.0
0.88,0.12,4181.0
0.88,0.12,4181.0
0.86,0.14,4181.0
0.86,0.14,4181.0
0.86,0.14,4181.0
0.88,0.12,4181.0
0.92,0.07999999999999996,4181.0
0.92,0.07999999999999996,4181.0
0.94,0.06000000000000005,4181.0
0.82,0.18000000000000005,4181.0
0.82,0.18000000000000005,4181.0
0.82,0.18000000000000005,4181.0
0.84,0.16000000000000006,4181.0
1.0,0.0,4181.0
0.92,0.07999999999999996,4181.0
0.96,0.040000000000000036,4181.0
0.96,0.040000000000000036,4181.0
0.96,0.040000000000000036,4181.0
0.96,0.040000000000000036,4181.0
0.96,0.040000000000000036,4181.0
0.96,0.040000000000000036,4181.0
0.96,0.040000000000000036,4181.0
0.92,0.07999999999999996,4181.0
0.92,0.07999999999999996,4181.0
0.92,0.07999999999999996,4181.0
0.94,0.06000000000000005,4181.0
0.94,0.06000000000000005,4181.0
0.92,0.07999999999999996,4181.0
0.92,0.07999999999999996,4181.0
0.9,0.09999999999999998,4181.0
0.93,0.06999999999999995,4181.0
0.87,0.13,4181.0
0.94,0.06000000000000005,4181.0
0.94,0.06000000000000005,4181.0
0.94,0.06000000000000005,4181.0
0.9,0.09999999999999998,4181.0
0.98,0.020000000000000014,4181.0
0.98,0.020000000000000014,4181.0
0.98,0.020000000000000014,4181.0
0.98,0.020000000000000014,4181.0
0.98,0.020000000000000014,4181.0
0.98,0.020000000000000014,4181.0
0.94,0.06000000000000005,4181.0
0.98,0.020000000000000014,4181.0
0.98,0.020000000000000014,4181.0
0.98,0.020000000000000014,4181.0
0.94,0.06000000000000005,4181.0
0.94,0.06000000000000005,4181.0
0.94,0.06000000000000005,4181.0
0.94,0.06000000000000005,4181.0
0.94,0.06000000000000005,4181.0
0.96,0.040000000000000036,4181.0
0.96,0.040000000000000036,4181.0
0.96,0.040000000000000036,4181.0
0.96,0.040000000000000036,4181.0
0.96,0.040000000000000036,4181.0
0.94,0.06000000000000005,4181.0
0.94,0.06000000000000005,4181.0
