d3mIndex,p_0,p_1
0.0,0.8430500033956307,0.15694999660436923
50.5555555555556,0.8430500033956307,0.15694999660436923
101.11111111111099,0.8430500033956307,0.15694999660436923
151.666666666667,0.8430500033956307,0.15694999660436923
202.22222222222197,0.8430500033956307,0.15694999660436923
252.77777777777803,0.8430500033956307,0.15694999660436923
303.33333333333303,0.8430500033956307,0.15694999660436923
353.888888888889,0.8430500033956307,0.15694999660436923
404.44444444444395,0.8430500033956307,0.15694999660436923
455.0,0.8430500033956307,0.15694999660436923
227.5,0.8430500033956307,0.15694999660436923
227.5,0.8430500033956307,0.15694999660436923
227.5,0.8430500033956307,0.15694999660436923
227.5,0.7824657082557678,0.21753429174423217
227.5,0.8430500033956307,0.15694999660436923
227.5,0.4834710579652053,0.5165289420347947
227.5,0.8430500033956307,0.15694999660436923
227.5,0.7970277848152014,0.2029722151847986
227.5,0.8430500033956307,0.15694999660436923
227.5,0.8974505768945584,0.1025494231054416
227.5,0.8430500033956307,0.15694999660436923
227.5,0.4627480183897066,0.5372519816102934
227.5,0.8047795090107963,0.19522049098920363
227.5,0.8146782117967422,0.1853217882032578
227.5,0.823551704419347,0.17644829558065303
227.5,0.8311063576776248,0.16889364232237522
227.5,0.8370487667047061,0.16295123329529396
227.5,0.8410928526749978,0.15890714732500222
227.5,0.8429667495764219,0.1570332504235781
227.5,0.8424241992143484,0.1575758007856516
227.5,0.8392661761779052,0.16073382382209483
227.5,0.8333763518012487,0.1666236481987513
227.5,0.8430500033956307,0.15694999660436923
227.5,0.5110690213166751,0.48893097868332497
227.5,0.8430500033956307,0.15694999660436923
227.5,0.8064544026668256,0.19354559733317447
227.5,0.8259713105284251,0.17402868947157493
227.5,0.8305121997228035,0.16948780027719645
227.5,0.834865059531652,0.16513494046834798
227.5,0.8390301204644717,0.16096987953552833
227.5,0.8430085885983247,0.1569914114016753
227.5,0.8468025183448424,0.15319748165515754
227.5,0.8504146904899523,0.14958530951004761
227.5,0.8538485155655787,0.14615148443442125
227.5,0.8571078942372249,0.14289210576277514
227.5,0.8601971567250215,0.1398028432749785
227.5,0.7823994996456,0.21760050035440004
227.5,0.7993243898336704,0.2006756101663296
227.5,0.8147298589348793,0.18527014106512069
227.5,0.8286262401021444,0.1713737598978556
227.5,0.8410596527732336,0.15894034722676645
227.5,0.8521031871438026,0.14789681285619735
227.5,0.8618482493437254,0.13815175065627464
227.5,0.8703968793153762,0.1296031206846237
227.5,0.8778554930136754,0.1221445069863246
227.5,0.8843301486510496,0.11566985134895032
227.5,0.897548875441918,0.10245112455808199
227.5,0.8859084918521918,0.11409150814780822
227.5,0.8727573390190417,0.1272426609809582
227.5,0.8579177932097362,0.14208220679026384
227.5,0.8412128236431342,0.15878717635686582
227.5,0.8224806934595108,0.1775193065404892
227.5,0.8015967317498647,0.19840326825013527
227.5,0.7785015474145229,0.2214984525854771
227.5,0.7532314133185607,0.24676858668143933
227.5,0.7259419620037079,0.27405803799629214
227.5,0.8271799135666627,0.1728200864333373
227.5,0.8310653483638397,0.16893465163616034
227.5,0.8347495863070855,0.16525041369291452
227.5,0.8382295552354593,0.16177044476454075
227.5,0.8415032934684019,0.15849670653159803
227.5,0.8445698676201013,0.15543013237989867
227.5,0.8474293043980232,0.15257069560197684
227.5,0.8500824875556505,0.14991751244434945
227.5,0.8525310907226342,0.14746890927736575
227.5,0.8547774615196081,0.14522253848039188
227.5,0.8430500033956307,0.15694999660436923
227.5,0.8655667496415285,0.1344332503584715
227.5,0.8430500033956307,0.15694999660436923
227.5,0.861461270829806,0.13853872917019405
227.5,0.8430500033956307,0.15694999660436923
227.5,0.8199900454626634,0.18000995453733665
227.5,0.8577394921046038,0.1422605078953963
227.5,0.8547889574215962,0.14521104257840375
227.5,0.8515552920790819,0.1484447079209181
227.5,0.8480226907592554,0.15197730924074465
227.5,0.8441757685863055,0.15582423141369453
227.5,0.8399998504381914,0.16000014956180866
227.5,0.8354813443926664,0.16451865560733356
227.5,0.8306081476119849,0.16939185238801516
227.5,0.8253701191682081,0.17462988083179182
227.5,0.8197595352163681,0.18024046478363184
227.5,0.830718717781397,0.16928128221860297
227.5,0.8344355430740577,0.16556445692594235
227.5,0.8379483767426931,0.1620516232573069
227.5,0.8412557534300364,0.1587442465699636
227.5,0.844356980232092,0.15564301976790795
227.5,0.8472520876389283,0.15274791236107166
227.5,0.849941758123728,0.15005824187627206
227.5,0.8524272836171664,0.14757271638283362
227.5,0.8547104990253082,0.14528950097469184
227.5,0.8567937426842176,0.1432062573157824
227.5,0.8430500033956307,0.15694999660436923
227.5,0.8074343800544739,0.19256561994552612
227.5,0.8430500033956307,0.15694999660436923
227.5,0.8028729888109061,0.19712701118909395
