p0,p1,d3mIndex
0.98,0.020000000000000014,2.0
0.98,0.020000000000000014,935.222222222222
0.98,0.020000000000000014,1868.4444444444398
0.98,0.020000000000000014,2801.6666666666697
0.98,0.020000000000000014,3734.8888888888896
0.98,0.020000000000000014,4668.11111111111
0.98,0.020000000000000014,5601.33333333333
0.98,0.020000000000000014,6534.55555555555
0.98,0.020000000000000014,7467.777777777779
0.98,0.020000000000000014,8401.0
1.0,0.0,4129.5
1.0,0.0,4129.5
0.98,0.020000000000000014,4129.5
1.0,0.0,4129.5
0.98,0.020000000000000014,4129.5
1.0,0.0,4129.5
0.98,0.020000000000000014,4129.5
1.0,0.0,4129.5
1.0,0.0,4129.5
0.88,0.12,4129.5
0.98,0.020000000000000014,4129.5
0.98,0.020000000000000014,4129.5
0.98,0.020000000000000014,4129.5
0.98,0.020000000000000014,4129.5
0.98,0.020000000000000014,4129.5
0.98,0.020000000000000014,4129.5
0.98,0.020000000000000014,4129.5
0.98,0.020000000000000014,4129.5
0.98,0.020000000000000014,4129.5
0.98,0.020000000000000014,4129.5
1.0,0.0,4129.5
1.0,0.0,4129.5
1.0,0.0,4129.5
1.0,0.0,4129.5
1.0,0.0,4129.5
1.0,0.0,4129.5
1.0,0.0,4129.5
1.0,0.0,4129.5
1.0,0.0,4129.5
1.0,0.0,4129.5
0.94,0.06000000000000005,4129.5
1.0,0.0,4129.5
0.98,0.020000000000000014,4129.5
0.98,0.020000000000000014,4129.5
0.96,0.040000000000000036,4129.5
0.98,0.020000000000000014,4129.5
0.96,0.040000000000000036,4129.5
0.96,0.040000000000000036,4129.5
0.96,0.040000000000000036,4129.5
0.96,0.040000000000000036,4129.5
0.96,0.040000000000000036,4129.5
0.98,0.020000000000000014,4129.5
0.98,0.020000000000000014,4129.5
0.98,0.020000000000000014,4129.5
0.98,0.020000000000000014,4129.5
0.96,0.040000000000000036,4129.5
0.94,0.06000000000000005,4129.5
0.96,0.040000000000000036,4129.5
0.96,0.040000000000000036,4129.5
0.94,0.06000000000000005,4129.5
0.98,0.020000000000000014,4129.5
1.0,0.0,4129.5
0.98,0.020000000000000014,4129.5
0.98,0.020000000000000014,4129.5
0.98,0.020000000000000014,4129.5
0.98,0.020000000000000014,4129.5
0.98,0.020000000000000014,4129.5
0.98,0.020000000000000014,4129.5
0.96,0.040000000000000036,4129.5
0.96,0.040000000000000036,4129.5
0.98,0.020000000000000014,4129.5
0.98,0.020000000000000014,4129.5
0.98,0.020000000000000014,4129.5
0.98,0.020000000000000014,4129.5
0.98,0.020000000000000014,4129.5
0.98,0.020000000000000014,4129.5
0.98,0.020000000000000014,4129.5
0.98,0.020000000000000014,4129.5
0.98,0.020000000000000014,4129.5
1.0,0.0,4129.5
1.0,0.0,4129.5
1.0,0.0,4129.5
1.0,0.0,4129.5
0.98,0.020000000000000014,4129.5
0.98,0.020000000000000014,4129.5
0.98,0.020000000000000014,4129.5
