d3mIndex,p_0,p_1
0.0,0.8884442314840271,0.11155576851597282
51.8888888888889,0.8884442314840271,0.11155576851597282
103.777777777778,0.8884442314840271,0.11155576851597282
155.666666666667,0.8884442314840271,0.11155576851597282
207.555555555556,0.8884442314840271,0.11155576851597282
259.444444444444,0.8884442314840271,0.11155576851597282
311.33333333333303,0.8884442314840271,0.11155576851597282
363.222222222222,0.8884442314840271,0.11155576851597282
415.111111111111,0.8884442314840271,0.11155576851597282
467.0,0.8884442314840271,0.11155576851597282
233.5,0.8884442314840271,0.11155576851597282
233.5,0.8884442314840271,0.11155576851597282
233.5,0.8884442314840271,0.11155576851597282
233.5,0.7387464612528253,0.2612535387471747
233.5,0.8884442314840271,0.11155576851597282
233.5,0.32754717369097325,0.6724528263090269
233.5,0.8884442314840271,0.11155576851597282
233.5,0.7788946731992695,0.22110532680073042
233.5,0.8884442314840271,0.11155576851597282
233.5,0.8961162705756809,0.10388372942431909
233.5,0.8884442314840271,0.11155576851597282
233.5,0.07167506190370962,0.9283249380962905
233.5,0.9724146980634408,0.027585301936559118
233.5,0.9673427811963328,0.03265721880366728
233.5,0.9604584434238124,0.03954155657618753
233.5,0.9513047086170969,0.048695291382903086
233.5,0.9401351215892446,0.059864878410755384
233.5,0.917437267442551,0.08256273255744918
233.5,0.8952659908025992,0.10473400919740089
233.5,0.8812056145024905,0.11879438549750963
233.5,0.8110663477788593,0.1889336522211409
233.5,0.7633808177524112,0.23661918224758893
233.5,0.8884442314840271,0.11155576851597282
233.5,0.14271817617528532,0.8572818238247146
233.5,0.8884442314840271,0.11155576851597282
233.5,0.8009514338864253,0.1990485661135745
233.5,0.8245415802125677,0.175458419787432
233.5,0.8772622998328445,0.12273770016715553
233.5,0.8779936432599559,0.12200635674004402
233.5,0.8810319318795998,0.11896806812040021
233.5,0.8883869187733086,0.11161308122669147
233.5,0.8954603881439177,0.1045396118560823
233.5,0.9009400778175783,0.09905992218242178
233.5,0.9073532029202692,0.09264679707973086
233.5,0.9180401488218692,0.0819598511781307
233.5,0.9188185260089176,0.08118147399108257
