p0,p1,d3mIndex
0.98,0.020000000000000014,0.0
0.98,0.020000000000000014,50.5555555555556
0.98,0.020000000000000014,101.11111111111099
0.98,0.020000000000000014,151.666666666667
0.98,0.020000000000000014,202.22222222222197
0.98,0.020000000000000014,252.77777777777803
0.98,0.020000000000000014,303.33333333333303
0.98,0.020000000000000014,353.888888888889
0.98,0.020000000000000014,404.44444444444395
0.98,0.020000000000000014,455.0
0.98,0.020000000000000014,227.5
0.98,0.020000000000000014,227.5
0.98,0.020000000000000014,227.5
0.92,0.07999999999999996,227.5
0.98,0.020000000000000014,227.5
0.05140313491225243,0.9485968650877477,227.5
0.98,0.020000000000000014,227.5
0.6120000004768371,0.3879999995231629,227.5
0.98,0.020000000000000014,227.5
0.957857142686844,0.04214285731315615,227.5
0.98,0.020000000000000014,227.5
0.18,0.8200000000000001,227.5
0.98,0.020000000000000014,227.5
0.98,0.020000000000000014,227.5
1.0,0.0,227.5
1.0,0.0,227.5
1.0,0.0,227.5
1.0,0.0,227.5
0.98,0.020000000000000014,227.5
0.98,0.020000000000000014,227.5
0.3716666668653488,0.6283333331346512,227.5
0.305,0.6950000000000001,227.5
0.98,0.020000000000000014,227.5
0.15833333343267442,0.8416666665673256,227.5
0.98,0.020000000000000014,227.5
0.76,0.24,227.5
0.86,0.14,227.5
1.0,0.0,227.5
1.0,0.0,227.5
1.0,0.0,227.5
0.98,0.020000000000000014,227.5
1.0,0.0,227.5
0.96,0.040000000000000036,227.5
0.84,0.16000000000000006,227.5
0.9,0.09999999999999998,227.5
0.9,0.09999999999999998,227.5
