d3mIndex,p_0,p_1
0.0,0.8864705995802538,0.11352940041974628
50.5555555555556,0.8864705995802538,0.11352940041974628
101.11111111111099,0.8864705995802538,0.11352940041974628
151.666666666667,0.8864705995802538,0.11352940041974628
202.22222222222197,0.8864705995802538,0.11352940041974628
252.77777777777803,0.8864705995802538,0.11352940041974628
303.33333333333303,0.8864705995802538,0.11352940041974628
353.888888888889,0.8864705995802538,0.11352940041974628
404.44444444444395,0.8864705995802538,0.11352940041974628
455.0,0.8864705995802538,0.11352940041974628
227.5,0.8864705995802538,0.11352940041974628
227.5,0.8864705995802538,0.11352940041974628
227.5,0.8864705995802538,0.11352940041974628
227.5,0.7036946275845553,0.29630537241544475
227.5,0.8864705995802538,0.11352940041974628
227.5,0.08792514886125635,0.9120748511387436
227.5,0.8864705995802538,0.11352940041974628
227.5,0.6010645506612251,0.39893544933877495
227.5,0.8864705995802538,0.11352940041974628
227.5,0.6701877076530635,0.32981229234693654
227.5,0.8864705995802538,0.11352940041974628
227.5,0.006132762525199342,0.9938672374748007
227.5,0.9859962953512728,0.01400370464872722
227.5,0.9801142495773841,0.019885750422615842
227.5,0.9718321206357488,0.028167879364251247
227.5,0.960240532543254,0.03975946745674599
227.5,0.9441529179848693,0.05584708201513071
227.5,0.9220840652161413,0.07791593478385876
227.5,0.8922892497414406,0.10771075025855932
227.5,0.8529183566492973,0.14708164335070273
227.5,0.8023442771473415,0.1976557228526586
227.5,0.7396877162116262,0.26031228378837384
227.5,0.8864705995802538,0.11352940041974628
227.5,0.12020704459781284,0.8797929554021872
227.5,0.8864705995802538,0.11352940041974628
227.5,0.823267416682963,0.17673258331703703
227.5,0.8531289989284822,0.14687100107151785
227.5,0.8621326341357105,0.13786736586428952
227.5,0.8706679934548657,0.12933200654513433
227.5,0.8787492469952478,0.12125075300475223
227.5,0.8863914355115772,0.11360856448842277
227.5,0.8936102681595273,0.1063897318404727
227.5,0.900421937103305,0.09957806289669502
227.5,0.9068429494569014,0.09315705054309865
227.5,0.9128899766206076,0.08711002337939242
227.5,0.9185797207279076,0.08142027927209244
227.5,0.8874346045297844,0.11256539547021557
227.5,0.8872041647244281,0.11279583527557194
227.5,0.8869733132544712,0.11302668674552882
227.5,0.8867420496305966,0.11325795036940343
227.5,0.8865103733639313,0.11348962663606867
227.5,0.8862782839660526,0.11372171603394748
227.5,0.8860457809489919,0.11395421905100808
227.5,0.8858128638252417,0.11418713617475827
227.5,0.8855795321077595,0.11442046789224046
227.5,0.8853457853099739,0.11465421469002617
227.5,0.9555592449616337,0.0444407550383663
227.5,0.9431125559007004,0.056887444099299606
227.5,0.9274445665527917,0.07255543344720831
227.5,0.9078827760952457,0.09211722390475427
227.5,0.88370821390119,0.11629178609881
227.5,0.8542082367081238,0.14579176329187615
227.5,0.8187596985197305,0.1812403014802695
227.5,0.7769427188580257,0.22305728114197432
227.5,0.7286747514954723,0.27132524850452766
227.5,0.6743399617286001,0.32566003827139994
227.5,0.9018908733168011,0.09810912668319897
227.5,0.8986312222045555,0.10136877779544452
227.5,0.8952758455148194,0.10472415448518058
227.5,0.8918227735744446,0.1081772264255554
227.5,0.8882700528590475,0.11172994714095247
227.5,0.884615750599231,0.11538424940076898
227.5,0.8808579596354201,0.11914204036457984
227.5,0.8769948035209988,0.12300519647900122
227.5,0.8730244418720451,0.1269755581279549
227.5,0.8689450759604684,0.13105492403953153
227.5,0.8864705995802538,0.11352940041974628
227.5,0.8890485334242979,0.11095146657570205
227.5,0.8864705995802538,0.11352940041974628
227.5,0.9530226808972373,0.046977319102762684
227.5,0.8864705995802538,0.11352940041974628
227.5,0.9625496970619204,0.037450302938079556
227.5,0.9120451166787571,0.0879548833212429
227.5,0.9065778566059328,0.09342214339406722
227.5,0.9008077133856125,0.09919228661438755
227.5,0.8947225679381455,0.10527743206185446
227.5,0.8883104027708814,0.11168959722911861
227.5,0.8815593893759288,0.11844061062407117
227.5,0.8744579848117833,0.12554201518821678
227.5,0.8669950374787275,0.13300496252127245
227.5,0.8591599019270122,0.1408400980729878
227.5,0.8509425623375917,0.1490574376624083
227.5,0.8553817122941264,0.14461828770587362
227.5,0.864740964106764,0.1352590358932359
227.5,0.8735840299360484,0.1264159700639515
227.5,0.8819278878871346,0.11807211211286534
227.5,0.8897905023754924,0.11020949762450759
227.5,0.8971905686065067,0.10280943139349331
227.5,0.9041472805679687,0.09585271943203133
227.5,0.9106801229586436,0.0893198770413564
227.5,0.9168086868860047,0.08319131311399532
227.5,0.9225525086905214,0.07744749130947863
227.5,0.8864705995802538,0.11352940041974628
227.5,0.9083849150657736,0.09161508493422645
227.5,0.8864705995802538,0.11352940041974623
227.5,0.9358261417427514,0.06417385825724861
