"d3mIndex","log(wdi.pop)","log1p(age)","postcoldwar","ios.iccpr1","nld.any.1","pitfdem","I(pitfdem * nld.any.1)","I(postcoldwar * nld.any.1)","as.factor(fiw.cl)","log1p(pol.durable)","log1p(cou.tries5)","nvc.start.1"
0,15.9317575131578,3.85014760171006,0,0,0,0,0,0,4,2.63905732961526,0,0
811.888888888889,15.9317575131578,3.85014760171006,0,0,0,0,0,0,4,2.63905732961526,0,0
1623.77777777778,15.9317575131578,3.85014760171006,0,0,0,0,0,0,4,2.63905732961526,0,0
2435.66666666667,15.9317575131578,3.85014760171006,0,0,0,0,0,0,4,2.63905732961526,0,0
3247.55555555556,15.9317575131578,3.85014760171006,0,0,0,0,0,0,4,2.63905732961526,0,0
4059.44444444444,15.9317575131578,3.85014760171006,0,0,0,0,0,0,4,2.63905732961526,0,0
4871.33333333333,15.9317575131578,3.85014760171006,0,0,0,0,0,0,4,2.63905732961526,0,0
5683.22222222222,15.9317575131578,3.85014760171006,0,0,0,0,0,0,4,2.63905732961526,0,0
6495.11111111111,15.9317575131578,3.85014760171006,0,0,0,0,0,0,4,2.63905732961526,0,0
7307,15.9317575131578,3.85014760171006,0,0,0,0,0,0,4,2.63905732961526,0,0
3663.5,11.7782852384175,3.85014760171006,0,0,0,0,0,0,4,2.63905732961526,0,0
3663.5,12.8050327453222,3.85014760171006,0,0,0,0,0,0,4,2.63905732961526,0,0
3663.5,13.831780252227,3.85014760171006,0,0,0,0,0,0,4,2.63905732961526,0,0
3663.5,14.8585277591317,3.85014760171006,0,0,0,0,0,0,4,2.63905732961526,0,0
3663.5,15.8852752660365,3.85014760171006,0,0,0,0,0,0,4,2.63905732961526,0,0
3663.5,16.9120227729412,3.85014760171006,0,0,0,0,0,0,4,2.63905732961526,0,0
3663.5,17.938770279846,3.85014760171006,0,0,0,0,0,0,4,2.63905732961526,0,0
3663.5,18.9655177867507,3.85014760171006,0,0,0,0,0,0,4,2.63905732961526,0,0
3663.5,19.9922652936555,3.85014760171006,0,0,0,0,0,0,4,2.63905732961526,0,0
3663.5,21.0190128005602,3.85014760171006,0,0,0,0,0,0,4,2.63905732961526,0,0
3663.5,15.9317575131578,0,0,0,0,0,0,0,4,2.63905732961526,0,0
3663.5,15.9317575131578,0.85678902798224,0,0,0,0,0,0,4,2.63905732961526,0,0
3663.5,15.9317575131578,1.71357805596448,0,0,0,0,0,0,4,2.63905732961526,0,0
3663.5,15.9317575131578,2.57036708394672,0,0,0,0,0,0,4,2.63905732961526,0,0
3663.5,15.9317575131578,3.42715611192896,0,0,0,0,0,0,4,2.63905732961526,0,0
3663.5,15.9317575131578,4.2839451399112,0,0,0,0,0,0,4,2.63905732961526,0,0
3663.5,15.9317575131578,5.14073416789344,0,0,0,0,0,0,4,2.63905732961526,0,0
3663.5,15.9317575131578,5.99752319587568,0,0,0,0,0,0,4,2.63905732961526,0,0
3663.5,15.9317575131578,6.85431222385792,0,0,0,0,0,0,4,2.63905732961526,0,0
3663.5,15.9317575131578,7.71110125184016,0,0,0,0,0,0,4,2.63905732961526,0,0
3663.5,15.9317575131578,3.85014760171006,0,0,0,0,0,0,4,2.63905732961526,0,0
3663.5,15.9317575131578,3.85014760171006,1,0,0,0,0,0,4,2.63905732961526,0,0
3663.5,15.9317575131578,3.85014760171006,0,0,0,0,0,0,4,2.63905732961526,0,0
3663.5,15.9317575131578,3.85014760171006,0,1,0,0,0,0,4,2.63905732961526,0,0
3663.5,15.9317575131578,3.85014760171006,0,0,0,0,0,0,4,2.63905732961526,0,0
3663.5,15.9317575131578,3.85014760171006,0,0,1,0,0,0,4,2.63905732961526,0,0
3663.5,15.9317575131578,3.85014760171006,0,0,0,0,0,0,4,2.63905732961526,0,0
3663.5,15.9317575131578,3.85014760171006,0,0,0,1,0,0,4,2.63905732961526,0,0
3663.5,15.9317575131578,3.85014760171006,0,0,0,0,0,0,4,2.63905732961526,0,0
3663.5,15.9317575131578,3.85014760171006,0,0,0,0,1,0,4,2.63905732961526,0,0
3663.5,15.9317575131578,3.85014760171006,0,0,0,0,0,0,4,2.63905732961526,0,0
3663.5,15.9317575131578,3.85014760171006,0,0,0,0,0,1,4,2.63905732961526,0,0
3663.5,15.9317575131578,3.85014760171006,0,0,0,0,0,0,1,2.63905732961526,0,0
3663.5,15.9317575131578,3.85014760171006,0,0,0,0,0,0,1.66666666666667,2.63905732961526,0,0
3663.5,15.9317575131578,3.85014760171006,0,0,0,0,0,0,2.33333333333333,2.63905732961526,0,0
3663.5,15.9317575131578,3.85014760171006,0,0,0,0,0,0,3,2.63905732961526,0,0
3663.5,15.9317575131578,3.85014760171006,0,0,0,0,0,0,3.66666666666667,2.63905732961526,0,0
3663.5,15.9317575131578,3.85014760171006,0,0,0,0,0,0,4.33333333333333,2.63905732961526,0,0
