"d3mIndex","sftpcons","log_gdpc","logtpop","logmtn","feanctig","floil","sftpdur2","ethherf","relhrel","anocracy","democracy","stratidc"
227.5,0,6.980679,8.8462805,2.53168333333333,0,0,0,0.5587933,0.51465655,0,0,197711
227.5,0,6.980679,8.8462805,3.03802,0,0,0,0.5587933,0.51465655,0,0,197711
227.5,0,6.980679,8.8462805,3.54435666666667,0,0,0,0.5587933,0.51465655,0,0,197711
227.5,0,6.980679,8.8462805,4.05069333333333,0,0,0,0.5587933,0.51465655,0,0,197711
227.5,0,6.980679,8.8462805,4.55703,0,0,0,0.5587933,0.51465655,0,0,197711
227.5,0,6.980679,8.8462805,2.2764525,0,0,0,0.5587933,0.51465655,0,0,197711
227.5,0,6.980679,8.8462805,2.2764525,1,0,0,0.5587933,0.51465655,0,0,197711
227.5,0,6.980679,8.8462805,2.2764525,0,0,0,0.5587933,0.51465655,0,0,197711
227.5,0,6.980679,8.8462805,2.2764525,0,1,0,0.5587933,0.51465655,0,0,197711
227.5,0,6.980679,8.8462805,2.2764525,0,0,0,0.5587933,0.51465655,0,0,197711
227.5,0,6.980679,8.8462805,2.2764525,0,0,1,0.5587933,0.51465655,0,0,197711
227.5,0,6.980679,8.8462805,2.2764525,0,0,0,0.1591384,0.51465655,0,0,197711
227.5,0,6.980679,8.8462805,2.2764525,0,0,0,0.252567466666667,0.51465655,0,0,197711
227.5,0,6.980679,8.8462805,2.2764525,0,0,0,0.345996533333333,0.51465655,0,0,197711
227.5,0,6.980679,8.8462805,2.2764525,0,0,0,0.4394256,0.51465655,0,0,197711
227.5,0,6.980679,8.8462805,2.2764525,0,0,0,0.532854666666667,0.51465655,0,0,197711
227.5,0,6.980679,8.8462805,2.2764525,0,0,0,0.626283733333333,0.51465655,0,0,197711
227.5,0,6.980679,8.8462805,2.2764525,0,0,0,0.7197128,0.51465655,0,0,197711
227.5,0,6.980679,8.8462805,2.2764525,0,0,0,0.813141866666667,0.51465655,0,0,197711
227.5,0,6.980679,8.8462805,2.2764525,0,0,0,0.906570933333333,0.51465655,0,0,197711
227.5,0,6.980679,8.8462805,2.2764525,0,0,0,1,0.51465655,0,0,197711
227.5,0,6.980679,8.8462805,2.2764525,0,0,0,0.5587933,0.1955023,0,0,197711
227.5,0,6.980679,8.8462805,2.2764525,0,0,0,0.5587933,0.284890933333333,0,0,197711
227.5,0,6.980679,8.8462805,2.2764525,0,0,0,0.5587933,0.374279566666667,0,0,197711
227.5,0,6.980679,8.8462805,2.2764525,0,0,0,0.5587933,0.4636682,0,0,197711
227.5,0,6.980679,8.8462805,2.2764525,0,0,0,0.5587933,0.553056833333333,0,0,197711
227.5,0,6.980679,8.8462805,2.2764525,0,0,0,0.5587933,0.642445466666667,0,0,197711
227.5,0,6.980679,8.8462805,2.2764525,0,0,0,0.5587933,0.7318341,0,0,197711
227.5,0,6.980679,8.8462805,2.2764525,0,0,0,0.5587933,0.821222733333333,0,0,197711
227.5,0,6.980679,8.8462805,2.2764525,0,0,0,0.5587933,0.910611366666667,0,0,197711
227.5,0,6.980679,8.8462805,2.2764525,0,0,0,0.5587933,1,0,0,197711
227.5,0,6.980679,8.8462805,2.2764525,0,0,0,0.5587933,0.51465655,0,0,197711
227.5,0,6.980679,8.8462805,2.2764525,0,0,0,0.5587933,0.51465655,1,0,197711
227.5,0,6.980679,8.8462805,2.2764525,0,0,0,0.5587933,0.51465655,0,0,197711
227.5,0,6.980679,8.8462805,2.2764525,0,0,0,0.5587933,0.51465655,0,1,197711
227.5,0,6.980679,8.8462805,2.2764525,0,0,0,0.5587933,0.51465655,0,0,195621
227.5,0,6.980679,8.8462805,2.2764525,0,0,0,0.5587933,0.51465655,0,0,196142.111111111
227.5,0,6.980679,8.8462805,2.2764525,0,0,0,0.5587933,0.51465655,0,0,196663.222222222
227.5,0,6.980679,8.8462805,2.2764525,0,0,0,0.5587933,0.51465655,0,0,197184.333333333
227.5,0,6.980679,8.8462805,2.2764525,0,0,0,0.5587933,0.51465655,0,0,197705.444444444
227.5,0,6.980679,8.8462805,2.2764525,0,0,0,0.5587933,0.51465655,0,0,198226.555555556
227.5,0,6.980679,8.8462805,2.2764525,0,0,0,0.5587933,0.51465655,0,0,198747.666666667
227.5,0,6.980679,8.8462805,2.2764525,0,0,0,0.5587933,0.51465655,0,0,199268.777777778
227.5,0,6.980679,8.8462805,2.2764525,0,0,0,0.5587933,0.51465655,0,0,199789.888888889
227.5,0,6.980679,8.8462805,2.2764525,0,0,0,0.5587933,0.51465655,0,0,200311
