"d3mIndex","sftpcons","log_gdpc","logtpop","logmtn","feanctig","floil","sftpdur2","ethherf","relhrel","anocracy","democracy","stratidc"
0,0,6.980679,8.8462805,2.2764525,0,0,0,0.5587933,0.51465655,0,0,197711
50.5555555555556,0,6.980679,8.8462805,2.2764525,0,0,0,0.5587933,0.51465655,0,0,197711
101.111111111111,0,6.980679,8.8462805,2.2764525,0,0,0,0.5587933,0.51465655,0,0,197711
151.666666666667,0,6.980679,8.8462805,2.2764525,0,0,0,0.5587933,0.51465655,0,0,197711
202.222222222222,0,6.980679,8.8462805,2.2764525,0,0,0,0.5587933,0.51465655,0,0,197711
252.777777777778,0,6.980679,8.8462805,2.2764525,0,0,0,0.5587933,0.51465655,0,0,197711
303.333333333333,0,6.980679,8.8462805,2.2764525,0,0,0,0.5587933,0.51465655,0,0,197711
353.888888888889,0,6.980679,8.8462805,2.2764525,0,0,0,0.5587933,0.51465655,0,0,197711
404.444444444444,0,6.980679,8.8462805,2.2764525,0,0,0,0.5587933,0.51465655,0,0,197711
455,0,6.980679,8.8462805,2.2764525,0,0,0,0.5587933,0.51465655,0,0,197711
227.5,0,6.980679,8.8462805,2.2764525,0,0,0,0.5587933,0.51465655,0,0,197711
227.5,1,6.980679,8.8462805,2.2764525,0,0,0,0.5587933,0.51465655,0,0,197711
227.5,0,4.317488,8.8462805,2.2764525,0,0,0,0.5587933,0.51465655,0,0,197711
227.5,0,4.95591377777778,8.8462805,2.2764525,0,0,0,0.5587933,0.51465655,0,0,197711
227.5,0,5.59433955555556,8.8462805,2.2764525,0,0,0,0.5587933,0.51465655,0,0,197711
227.5,0,6.23276533333333,8.8462805,2.2764525,0,0,0,0.5587933,0.51465655,0,0,197711
227.5,0,6.87119111111111,8.8462805,2.2764525,0,0,0,0.5587933,0.51465655,0,0,197711
227.5,0,7.50961688888889,8.8462805,2.2764525,0,0,0,0.5587933,0.51465655,0,0,197711
227.5,0,8.14804266666667,8.8462805,2.2764525,0,0,0,0.5587933,0.51465655,0,0,197711
227.5,0,8.78646844444444,8.8462805,2.2764525,0,0,0,0.5587933,0.51465655,0,0,197711
227.5,0,9.42489422222222,8.8462805,2.2764525,0,0,0,0.5587933,0.51465655,0,0,197711
227.5,0,10.06332,8.8462805,2.2764525,0,0,0,0.5587933,0.51465655,0,0,197711
227.5,0,6.980679,4.990433,2.2764525,0,0,0,0.5587933,0.51465655,0,0,197711
227.5,0,6.980679,5.98024266666667,2.2764525,0,0,0,0.5587933,0.51465655,0,0,197711
227.5,0,6.980679,6.97005233333333,2.2764525,0,0,0,0.5587933,0.51465655,0,0,197711
227.5,0,6.980679,7.959862,2.2764525,0,0,0,0.5587933,0.51465655,0,0,197711
227.5,0,6.980679,8.94967166666667,2.2764525,0,0,0,0.5587933,0.51465655,0,0,197711
227.5,0,6.980679,9.93948133333333,2.2764525,0,0,0,0.5587933,0.51465655,0,0,197711
227.5,0,6.980679,10.929291,2.2764525,0,0,0,0.5587933,0.51465655,0,0,197711
227.5,0,6.980679,11.9191006666667,2.2764525,0,0,0,0.5587933,0.51465655,0,0,197711
227.5,0,6.980679,12.9089103333333,2.2764525,0,0,0,0.5587933,0.51465655,0,0,197711
227.5,0,6.980679,13.89872,2.2764525,0,0,0,0.5587933,0.51465655,0,0,197711
227.5,0,6.980679,8.8462805,0,0,0,0,0.5587933,0.51465655,0,0,197711
227.5,0,6.980679,8.8462805,0.506336666666667,0,0,0,0.5587933,0.51465655,0,0,197711
227.5,0,6.980679,8.8462805,1.01267333333333,0,0,0,0.5587933,0.51465655,0,0,197711
227.5,0,6.980679,8.8462805,1.51901,0,0,0,0.5587933,0.51465655,0,0,197711
227.5,0,6.980679,8.8462805,2.02534666666667,0,0,0,0.5587933,0.51465655,0,0,197711
