"d3mIndex","sftpcons","sftptv2a3","sftptv2a4","sftptv2a5","sftptv2a2","sftptv2a6","logim","maccat","disp4cat","stratidc","log_gdpc","logtpop","logmtn","feanctig","floil","sftpdur2","ethherf","relhrel","anocracy","democracy"
0,0,0,0,0,0,0,0.113896161317825,0,0,197711,6.98067903518677,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
50.5555555555556,0,0,0,0,0,0,0.113896161317825,0,0,197711,6.98067903518677,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
101.111111111111,0,0,0,0,0,0,0.113896161317825,0,0,197711,6.98067903518677,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
151.666666666667,0,0,0,0,0,0,0.113896161317825,0,0,197711,6.98067903518677,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
202.222222222222,0,0,0,0,0,0,0.113896161317825,0,0,197711,6.98067903518677,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
252.777777777778,0,0,0,0,0,0,0.113896161317825,0,0,197711,6.98067903518677,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
303.333333333333,0,0,0,0,0,0,0.113896161317825,0,0,197711,6.98067903518677,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
353.888888888889,0,0,0,0,0,0,0.113896161317825,0,0,197711,6.98067903518677,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
404.444444444444,0,0,0,0,0,0,0.113896161317825,0,0,197711,6.98067903518677,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
455,0,0,0,0,0,0,0.113896161317825,0,0,197711,6.98067903518677,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,0.113896161317825,0,0,197711,6.98067903518677,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,1,0,0,0,0,0,0.113896161317825,0,0,197711,6.98067903518677,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,0.113896161317825,0,0,197711,6.98067903518677,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,1,0,0,0,0,0.113896161317825,0,0,197711,6.98067903518677,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,0.113896161317825,0,0,197711,6.98067903518677,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,1,0,0,0,0.113896161317825,0,0,197711,6.98067903518677,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,0.113896161317825,0,0,197711,6.98067903518677,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,1,0,0,0.113896161317825,0,0,197711,6.98067903518677,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,0.113896161317825,0,0,197711,6.98067903518677,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,1,0,0.113896161317825,0,0,197711,6.98067903518677,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,0.113896161317825,0,0,197711,6.98067903518677,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,1,0.113896161317825,0,0,197711,6.98067903518677,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,-2.46191716194153,0,0,197711,6.98067903518677,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,-2.04416275024414,0,0,197711,6.98067903518677,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,-1.62640833854675,0,0,197711,6.98067903518677,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,-1.20865392684937,0,0,197711,6.98067903518677,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,-0.790899515151979,0,0,197711,6.98067903518677,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,-0.373145103454591,0,0,197711,6.98067903518677,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,0.044609308242797,0,0,197711,6.98067903518677,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,0.462363719940185,0,0,197711,6.98067903518677,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,0.880118131637572,0,0,197711,6.98067903518677,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,1.29787254333496,0,0,197711,6.98067903518677,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,0.113896161317825,0,0,197711,6.98067903518677,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,0.113896161317825,1,0,197711,6.98067903518677,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,0.113896161317825,0,0,197711,6.98067903518677,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,0.113896161317825,0,1,197711,6.98067903518677,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,0.113896161317825,0,0,195621,6.98067903518677,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,0.113896161317825,0,0,196142.111111111,6.98067903518677,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,0.113896161317825,0,0,196663.222222222,6.98067903518677,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,0.113896161317825,0,0,197184.333333333,6.98067903518677,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,0.113896161317825,0,0,197705.444444444,6.98067903518677,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,0.113896161317825,0,0,198226.555555556,6.98067903518677,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,0.113896161317825,0,0,198747.666666667,6.98067903518677,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,0.113896161317825,0,0,199268.777777778,6.98067903518677,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,0.113896161317825,0,0,199789.888888889,6.98067903518677,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,0.113896161317825,0,0,200311,6.98067903518677,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
