d3mIndex,p_0,p_1
0.0,0.9830903704779652,0.016909629522034755
933.333333333333,0.9830903704779652,0.016909629522034755
1866.66666666667,0.9830903704779652,0.016909629522034755
2800.0,0.9830903704779652,0.016909629522034755
3733.3333333333294,0.9830903704779652,0.016909629522034755
4666.666666666671,0.9830903704779652,0.016909629522034755
5600.0,0.9830903704779652,0.016909629522034755
6533.33333333333,0.9830903704779652,0.016909629522034755
7466.66666666667,0.9830903704779652,0.016909629522034755
8400.0,0.9830903704779652,0.016909629522034755
4199.0,0.9902806183950116,0.009719381604988414
4199.0,0.9890710392501205,0.01092896074987948
4199.0,0.9875601163133979,0.012439883686602116
4199.0,0.9856550383524826,0.014344961647517406
4199.0,0.9832319325409257,0.01676806745907435
4199.0,0.9801255936662738,0.019874406333726186
4199.0,0.9761166223826316,0.02388337761736833
4199.0,0.9709162981177751,0.029083701882224818
4199.0,0.9641510556810178,0.03584894431898227
4199.0,0.9553513522331532,0.04464864776684688
4199.0,0.9810880012666949,0.018911998733305013
4199.0,0.9816974870430736,0.018302512956926455
4199.0,0.9822372728958726,0.017762727104127407
4199.0,0.9827092631791646,0.017290736820835335
4199.0,0.9831146887575205,0.016885311242479543
4199.0,0.9834540879353881,0.016545912064611912
4199.0,0.9837272907822178,0.016272709217782205
4199.0,0.9839334060581257,0.01606659394187423
4199.0,0.9840708017779084,0.015929198222091566
4199.0,0.9841370875374056,0.015862912462594417
4199.0,0.9843928148432707,0.01560718515672936
4199.0,0.984587397530245,0.015412602469754906
4199.0,0.9845761060786362,0.015423893921363813
4199.0,0.9843197522398371,0.015680247760162903
4199.0,0.9837624180202301,0.016237581979769926
4199.0,0.9828259520662519,0.017174047933748136
4199.0,0.9814028451792323,0.018597154820767733
4199.0,0.9793474106834485,0.020652589316551503
4199.0,0.9764657331487308,0.023534266851269282
4199.0,0.9725059449672699,0.027494055032730103
4199.0,0.9830903704779652,0.016909629522034755
4199.0,0.9819154673757461,0.01808453262425386
4199.0,0.9804847151757433,0.019515284824256712
4199.0,0.9787531305247774,0.02124686947522255
4199.0,0.9766679499584895,0.02333205004151051
4199.0,0.9741676904404393,0.02583230955956074
4199.0,0.9711813077760431,0.02881869222395695
4199.0,0.9676275544155103,0.03237244558448975
4199.0,0.9634147454626285,0.03658525453737149
4199.0,0.9584411332670313,0.041558866732968734
4199.0,0.9830903704779652,0.016909629522034755
4199.0,0.9818519507176601,0.018148049282339904
4199.0,0.9804283500147554,0.01957164998524464
4199.0,0.9787891516748529,0.02121084832514708
4199.0,0.976898673004829,0.023101326995171034
4199.0,0.9747155565052078,0.02528444349479217
4199.0,0.9721927175584893,0.027807282441510605
4199.0,0.9692779717178872,0.0307220282821128
4199.0,0.9659156881630994,0.03408431183690062
4199.0,0.9620497843537194,0.03795021564628069
4199.0,0.9830903704779652,0.016909629522034755
4199.0,0.9820779893260736,0.017922010673926427
4199.0,0.9809700802971537,0.01902991970284627
4199.0,0.9797568212478207,0.02024317875217933
4199.0,0.9784273599346097,0.02157264006539033
4199.0,0.9769697189904176,0.023030281009582373
4199.0,0.9753706993391881,0.024629300660811936
4199.0,0.9736157953882447,0.026384204611755335
4199.0,0.9716891072833768,0.02831089271662327
4199.0,0.9695732744124074,0.030426725587592674
4199.0,0.9830903704779652,0.016909629522034755
4199.0,0.9793747168464156,0.02062528315358437
4199.0,0.9830903704779652,0.016909629522034755
4199.0,0.9875042612377841,0.012495738762215927
4199.0,0.9830903704779652,0.016909629522034755
4199.0,0.9830903704779652,0.016909629522034755
