d3mIndex,p_0,p_1
0,0.7809340683816649,0.21906593161833507
1,0.6908980728374189,0.3091019271625811
2,0.49420938462727854,0.5057906153727216
3,0.8719723852757932,0.1280276147242068
4,0.7122083558258889,0.28779164417411107
5,0.9094814080234839,0.09051859197651624
6,0.9226293377274948,0.07737066227250528
7,0.9249943019822158,0.07500569801778437
8,0.8305838175521306,0.1694161824478695
9,0.6655732030953514,0.3344267969046486
10,0.7957417548445287,0.2042582451554714
11,0.4500314092099968,0.5499685907900032
12,0.6603989739547047,0.3396010260452952
13,0.5314058130052709,0.46859418699472905
14,0.9122211487683614,0.08777885123163862
15,0.9149415017140036,0.08505849828599632
16,0.9184407261636668,0.08155927383633324
17,0.9264246722024034,0.07357532779759658
18,0.9284799109520365,0.07152008904796335
19,0.9256204462934169,0.07437955370658318
20,0.9260152855623138,0.07398471443768621
21,0.8101446792194347,0.18985532078056527
22,0.8783169594291896,0.12168304057081035
23,0.9683245468433517,0.03167545315664832
24,0.8953901245838363,0.10460987541616365
25,0.9160874468580463,0.08391255314195369
26,0.7218619873776603,0.2781380126223398
27,0.5010437323911611,0.49895626760883893
28,0.8767906354518199,0.12320936454818004
29,0.8755309815762194,0.12446901842378057
30,0.4318440665876243,0.5681559334123757
31,0.7998999559608775,0.20010004403912257
32,0.7589789406005075,0.24102105939949253
33,0.884816399282261,0.1151836007177391
34,0.8831413997338479,0.1168586002661521
35,0.8839845333293719,0.11601546667062805
36,0.8537818758517656,0.14621812414823446
37,0.7934130426231556,0.20658695737684452
38,0.8079211997020602,0.19207880029793986
39,0.7709699371795409,0.22903006282045918
40,0.42934955134671837,0.5706504486532816
41,0.5720150089435626,0.42798499105643734
42,0.8766976034035258,0.1233023965964743
43,0.9297504180373923,0.07024958196260772
44,0.7985267752901218,0.20147322470987808
45,0.7892134253048889,0.21078657469511108
46,0.8438803974942914,0.15611960250570858
47,0.4027795470525366,0.5972204529474634
48,0.774149173992654,0.22585082600734602
49,0.5269527878709606,0.4730472121290393
50,0.6996299872531443,0.30037001274685576
51,0.5401977978825397,0.45980220211746026
52,0.8513187628449232,0.14868123715507672
53,0.8825609831913026,0.11743901680869749
54,0.9147204659227085,0.0852795340772915
55,0.9047487505723539,0.09525124942764603
56,0.6802552218309471,0.31974477816905295
57,0.7039151438138036,0.2960848561861963
58,0.8354630272951163,0.16453697270488363
59,0.774900372334396,0.22509962766560407
60,0.8421565544923392,0.15784344550766072
61,0.826828858669237,0.173171141330763
62,0.8794714913307043,0.12052850866929572
63,0.8667798145782324,0.13322018542176767
64,0.8276535185029286,0.17234648149707132
65,0.8656321980532652,0.13436780194673487
66,0.6970900400992524,0.30290995990074765
67,0.737660475210328,0.2623395247896721
68,0.7217302627267352,0.27826973727326476
69,0.8979296754990006,0.10207032450099938
70,0.8977002223390508,0.10229977766094926
71,0.8979833606039936,0.10201663939600625
72,0.8903138143778022,0.1096861856221978
73,0.8883207896685116,0.11167921033148841
74,0.7221981619287149,0.27780183807128506
